n,coverage,se,nominal,z,stratum,value,target,policy,backend
14,0.9285714285714286,0.06883029368995938,0.95,-0.31132471299766146,overlap_status,no_overlap,sigma,entropy_vector,ref
586,0.9522184300341296,0.008811496866389625,0.95,0.2517654001094436,overlap_status,overlap,sigma,entropy_vector,ref
107,0.9906542056074766,0.009302019939262133,0.95,4.3704707013024855,info_stratum,Q1,sigma,entropy_vector,ref
75,0.9066666666666666,0.03359012200478434,0.95,-1.2900618023108472,info_stratum,Q2,sigma,entropy_vector,ref
131,0.9694656488549618,0.015032281940708794,0.95,1.2949230816544939,info_stratum,Q3,sigma,entropy_vector,ref
287,0.9407665505226481,0.013934246776976966,0.95,-0.6626443197925784,info_stratum,Q4,sigma,entropy_vector,ref
97,0.9587628865979382,0.020188956325901238,0.95,0.4340435660210904,ess_stratum,Q1,sigma,entropy_vector,ref
94,0.9361702127659575,0.025213038145123257,0.95,-0.5485172851617435,ess_stratum,Q2,sigma,entropy_vector,ref
155,0.967741935483871,0.014191656292389021,0.95,1.2501666555570425,ess_stratum,Q3,sigma,entropy_vector,ref
254,0.9448818897637795,0.014319210179276667,0.95,-0.35742964675716365,ess_stratum,Q4,sigma,entropy_vector,ref
14,0.7857142857142857,0.10966421051124836,0.95,-1.4980795787415377,overlap_status,no_overlap,q0.5,entropy_vector,ref
586,0.9488054607508533,0.009104405639477368,0.95,-0.1312045284941049,overlap_status,overlap,q0.5,entropy_vector,ref
107,0.9439252336448598,0.022241324452375952,0.95,-0.27312970359061534,info_stratum,Q1,q0.5,entropy_vector,ref
75,0.92,0.03132624033192194,0.95,-0.9576635971035897,info_stratum,Q2,q0.5,entropy_vector,ref
131,0.9541984732824428,0.01826516871820695,0.95,0.22986227760698077,info_stratum,Q3,q0.5,entropy_vector,ref
287,0.9477351916376306,0.013137333848969614,0.95,-0.1723948244298398,info_stratum,Q4,q0.5,entropy_vector,ref
97,0.9072164948453608,0.0294581174512516,0.95,-1.4523502808840003,ess_stratum,Q1,q0.5,entropy_vector,ref
94,0.9468085106382979,0.023146654282653962,0.95,-0.1378812385897947,ess_stratum,Q2,q0.5,entropy_vector,ref
155,0.9806451612903225,0.011065852423530408,0.95,2.769344838284556,ess_stratum,Q3,q0.5,entropy_vector,ref
254,0.937007874015748,0.015243963313808537,0.95,-0.8522800610837985,ess_stratum,Q4,q0.5,entropy_vector,ref
14,0.8571428571428571,0.09352195295828246,0.95,-0.9928914005737652,overlap_status,no_overlap,q0.95,entropy_vector,ref
586,0.9556313993174061,0.008506174023146473,0.95,0.6620366926519937,overlap_status,overlap,q0.95,entropy_vector,ref
107,0.9719626168224299,0.015958851386924617,0.95,1.3762028538234479,info_stratum,Q1,q0.95,entropy_vector,ref
75,0.9466666666666667,0.025945812478802534,0.95,-0.12847288309266086,info_stratum,Q2,q0.95,entropy_vector,ref
131,0.9694656488549618,0.015032281940708794,0.95,1.2949230816544939,info_stratum,Q3,q0.95,entropy_vector,ref
287,0.9407665505226481,0.013934246776976966,0.95,-0.6626443197925784,info_stratum,Q4,q0.95,entropy_vector,ref
97,0.9484536082474226,0.022450256869438828,0.95,-0.0688808044188747,ess_stratum,Q1,q0.95,entropy_vector,ref
94,0.9468085106382979,0.023146654282653962,0.95,-0.1378812385897947,ess_stratum,Q2,q0.95,entropy_vector,ref
