n,target_p,stimulus_r,stimulus_x,utility,vector_mi,is_argmax,argmax_r,quad_density_integral,quad_empty_windows,post_mu_median,post_sigma_median,ess
5,0.99,0.54,28.31187323926025,0.031043527526758097,0.0876524027675546,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.58,28.809011445547387,0.040212070551717716,0.0930964201000799,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.62,29.286745541530603,0.04885385235423112,0.09822583078168101,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.66,29.774204088774955,0.05704998506341308,0.10296057413795978,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.7,30.3118329402365,0.06499129979348772,0.10727395118686978,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.74,30.87506245183881,0.0718489327569195,0.11058734922330349,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.78,31.48690913435065,0.07754022439020913,0.11276087822781033,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.82,32.181513994627295,0.08190521710262694,0.11356104218399904,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.86,33.00320599752479,0.08457823483213989,0.11256437991947033,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.9,33.97200411830268,0.08501578827157297,0.10933211315712649,True,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.94,35.28061390183042,0.08243994200857335,0.10271716378991674,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
5,0.99,0.98,37.6738633283146,0.07303939621027988,0.08792353563914465,False,0.9,1.0078099740404143,0,27.83659932754935,4.719076982534774,6870.314380996091
15,0.5,0.02,19.35157314646131,0.020841312944144957,0.04514380296061507,False,0.42,0.9952919941519328,0,29.580902916466606,4.982906481945833,7008.442343174184
15,0.5,0.06,21.83734131308729,0.026504165631133225,0.05168997799681074,False,0.42,0.9952919941519328,0,29.580902916466606,4.982906481945833,7008.442343174184
15,0.5,0.1,23.196472985175237,0.029756064052203712,0.05291617802682952,False,0.42,0.9952919941519328,0,29.580902916466606,4.982906481945833,7008.442343174184
15,0.5,0.14,24.186543177138162,0.03206663707308044,0.052318038667756916,False,0.42,0.9952919941519328,0,29.580902916466606,4.982906481945833,7008.442343174184
15,0.5,0.18,25.001804771030304,0.03384661921168575,0.05085825425910567,False,0.42,0.9952919941519328,0,29.580902916466606,4.982906481945833,7008.442343174184
15,0.5,0.22,25.702708808187953,0.035220099285520834,0.04900765837517901,False,0.42,0.9952919941519328,0,29.580902916466606,4.982906481945833,7008.442343174184
15,0.5,0.26,26.337322508832983,0.036281533047048176,0.047008339622730766,False,0.42,0.9952919941519328,0,29.580902916466606,4.982906481945833,7008.442343174184
15,0.5,0.3,26.91876971061684,0.03705649568895353,0.04507268130680353,False,0.42,0.9952919941519328,0,29.580902916466606,4.982906481945833,7008.442343174184
15,0.5,0.34,27.47902178057723,0.03758846804274829,0.043286584504617864,False,0.42,0.9952919941519328,0,29.580902916466606,4.982906481945833,7008.442343174184
15,0.5,0.38,28.019951964041084,0.03787630088943239,0.04180229268118851,False,0.42,0.9952919941519328,0,29.580902916466606,4.982906481945833,7008.442343174184
15,0.5,0.42,28.54751744488625,0.03792782158001873,0.04072937469021076,True,0.42,0.9952919941519328,0,29.580902916466606,4.982906481945833,7008.442343174184
15,0.5,0.46,29.071076780499155,0.03774926453379113,0.04014707427188491,False,0.42,0.9952919941519328,0,29.580902916466606,4.982906481945833,7008.442343174184
15,0.5,0.5,29.580776452945738,0.037358124207263255,0.04011272537852906,False,0.42,0.9952919941519328,0,29.580902916466606,4.982906481945833,7008.442343174184
