mu_true,sigma_true,target,backend,n,coverage,coverage_se,z_vs_nominal,mean_width,median_width,bias,rmse,frac_no_overlap,frac_all_equal,mean_ess
30.0,6.0,q0.95,particle,150,0.9133333333333333,0.022971802360801027,-1.5961597653841235,14.777948567820962,14.136887175750399,-0.7159164333539985,3.3401609617253523,0.0,0.0,6991.7809970496255
30.0,6.0,q0.95,ref,150,0.9133333333333333,0.022971802360801027,-1.5961597653841235,,,-0.7159164333539985,3.3401609617253523,0.0,0.0,6991.7809970496255
30.0,6.0,q0.99,particle,150,0.92,0.022150996967781528,-1.3543408472149001,19.771248718215343,18.620653293049365,-1.0239716998889203,4.584453343307298,0.0,0.0,6991.7809970496255
30.0,6.0,q0.99,ref,150,0.92,0.022150996967781528,-1.3543408472149001,,,-1.0239716998889203,4.584453343307298,0.0,0.0,6991.7809970496255
34.0,1.5,mu,particle,150,0.96,0.016000000000000007,0.6250000000000002,2.1348977099125332,2.077677149950027,-0.11524722857059293,0.49490927570563065,0.0,0.0,6027.8529414512695
34.0,1.5,mu,ref,150,0.96,0.016000000000000007,0.6250000000000002,,,-0.11524722857059293,0.49490927570563065,0.0,0.0,6027.8529414512695
34.0,1.5,sigma,particle,150,0.94,0.019390719429665325,-0.515710623129397,2.407063056560809,2.319184646336786,0.09770887527581404,0.45052115931166237,0.0,0.0,6027.8529414512695
34.0,1.5,sigma,ref,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,,,0.09770887527581404,0.45052115931166237,0.0,0.0,6027.8529414512695
34.0,1.5,q0.5,particle,150,0.96,0.016000000000000007,0.6250000000000002,2.1348977099125332,2.077677149950027,-0.11524722857059293,0.49490927570563065,0.0,0.0,6027.8529414512695
34.0,1.5,q0.5,ref,150,0.96,0.016000000000000007,0.6250000000000002,,,-0.11524722857059293,0.49490927570563065,0.0,0.0,6027.8529414512695
34.0,1.5,q0.95,particle,150,0.96,0.016000000000000007,0.6250000000000002,4.527794166721519,4.390190906535334,0.04971781902344953,0.8137120443056177,0.0,0.0,6027.8529414512695
34.0,1.5,q0.95,ref,150,0.96,0.016000000000000007,0.6250000000000002,,,0.04971781902344953,0.8137120443056177,0.0,0.0,6027.8529414512695
34.0,1.5,q0.99,particle,150,0.96,0.016000000000000007,0.6250000000000002,6.019259835331373,5.848309320789237,0.11454368591648091,1.0765623872986283,0.0,0.0,6027.8529414512695
34.0,1.5,q0.99,ref,150,0.9666666666666667,0.014656562175858798,1.1371470653683586,,,0.11454368591648091,1.0765623872986283,0.0,0.0,6027.8529414512695
34.0,3.0,mu,particle,150,0.96,0.016000000000000007,0.6250000000000002,3.7274677068479574,3.754264404102246,-0.11246420929627557,0.759673777680095,0.0,0.0,6885.046497623647
34.0,3.0,mu,ref,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,,,-0.11246420929627557,0.759673777680095,0.0,0.0,6885.046497623647
