setting,policy,n,target,estimator,mse,mse_se,bias,rmse,n_used,n_total,coverage,coverage_se,mean_width
probit_ind_poor,dror_steinberg,30,q0.99,bayes,5.1163915270722855,0.43133078152683757,-0.7613770392444003,2.2619441918562635,250,250,0.944,0.014541526742402262,9.777991560020746
probit_ind_poor,dror_steinberg,30,mu,mle,0.8620335534760375,0.07929624199857102,0.016236891111606026,0.9284576207216124,250,250,,,
probit_ind_poor,dror_steinberg,30,sigma,mle,1.0676722308295914,0.0832783194632602,-0.4376252376540368,1.0332822609672496,250,250,,,
probit_ind_poor,dror_steinberg,30,q0.5,mle,0.8620335534760375,0.07929624199857102,0.016236891111606026,0.9284576207216124,250,250,,,
probit_ind_poor,dror_steinberg,30,q0.95,mle,3.524796777899303,0.29663869747477417,-0.7035925682891397,1.8774442143241707,250,250,,,
probit_ind_poor,dror_steinberg,30,q0.99,mle,6.320710149580311,0.52015199501342,-1.0018316501314828,2.514102255195741,250,250,,,
probit_ind_poor,dror_steinberg,30,q0.01,bayes,,,,,0,250,,,
probit_ind_poor,dror_steinberg,30,q0.05,bayes,,,,,0,250,,,
probit_ind_poor,dror_steinberg,30,q0.01,mle,,,,,0,250,,,
probit_ind_poor,dror_steinberg,30,q0.05,mle,,,,,0,250,,,
probit_ind_poor,entropy_vector,20,mu,bayes,1.1714036954280564,0.11661940773609845,-0.25019785351792484,1.082314046581701,250,250,0.924,0.016759952267235128,4.2732261769428375
probit_ind_poor,entropy_vector,20,sigma,bayes,1.043123063500425,0.09406226158595064,-0.310951818496971,1.02133396276655,250,250,0.964,0.011782020200288238,5.555969291957228
probit_ind_poor,entropy_vector,20,q0.5,bayes,1.1714036954280564,0.11661940773609845,-0.25019785351792484,1.082314046581701,250,250,0.924,0.016759952267235128,4.2732261769428375
probit_ind_poor,entropy_vector,20,q0.95,bayes,3.9693232254540827,0.3744015505943067,-0.7524261112065542,1.9923160455746178,250,250,0.94,0.015019986684414876,10.05548582899952
probit_ind_poor,entropy_vector,20,q0.99,bayes,6.791847743513283,0.6341899561699027,-0.9648411128810808,2.606117369481521,250,250,0.948,0.014042222046385685,13.576398204984045
probit_ind_poor,entropy_vector,20,mu,mle,1.1763754888869262,0.11911023969186967,-0.06899381917642228,1.0846084495738202,250,250,,,
probit_ind_poor,entropy_vector,20,sigma,mle,1.4739454069324311,0.13345837153333379,-0.5280424299029057,1.214061533420951,250,250,,,
probit_ind_poor,entropy_vector,20,q0.5,mle,1.1763754888869262,0.11911023969186967,-0.06899381917642228,1.0846084495738202,250,250,,,
probit_ind_poor,entropy_vector,20,q0.95,mle,5.4981692334773244,0.5628692594365388,-0.9375463251864886,2.3448175266910054,250,250,,,
