mu_true,sigma_true,replicate,arm,n_particles,rejuvenate,kl_threshold,overlap,ess,max_weight,n_resamples,n_invalid,q0.5_p_covered,q0.5_r_covered,q0.5_cov_diff,q0.5_rank_diff,q0.5_shift_in_ref_sd,q0.5_sd_ratio,q0.95_p_covered,q0.95_r_covered,q0.95_cov_diff,q0.95_rank_diff,q0.95_shift_in_ref_sd,q0.95_sd_ratio,q0.99_p_covered,q0.99_r_covered,q0.99_cov_diff,q0.99_rank_diff,q0.99_shift_in_ref_sd,q0.99_sd_ratio
22.0,0.3,49,N=10k no-rejuv,10000,False,inf,True,30.77001912695861,0.07176648839324695,0,0,True,True,0,0.01331552306337136,0.0445528958115341,0.9695194706900219,False,False,0,-0.01130976989895908,-0.03264990219587663,0.9002553250368281,False,False,0,-0.005291273816461791,-0.04063389601620262,0.9071286941703006
22.0,0.3,49,N=10k rejuv KL=0.02,10000,True,0.02,True,4223.215667614345,0.0055980578231251115,21,19170,True,True,0,-0.01774248842255563,0.018538702477114352,0.9881238931552414,False,False,0,-0.007403462392743662,0.015082650889889537,0.9825904703342838,False,False,0,-0.005299397900703315,0.013291355567896838,0.9805196708369814
38.0,0.3,0,N=10k rejuv,10000,True,0.1,False,27.816045405999446,0.12561319847690114,5,9102,True,True,0,-0.1399952513885272,0.33379945664634936,1.02177464160463,False,True,-1,-0.3339548186377551,1.0338158574397083,0.8912661520054014,False,True,-1,-0.30700831980139154,1.1201376402031606,0.8738370977385459
38.0,0.3,0,N=40k rejuv,40000,True,0.1,False,59.39021634569787,0.06811542459584756,5,38984,True,True,0,0.011778624291076345,0.13902483756277403,0.9851621175677027,True,True,0,-0.314060284550349,0.6046769393028152,0.8787661974267768,False,True,-1,-0.3025860610808511,0.6658136362148491,0.8589783113525685
38.0,0.3,0,N=160k rejuv,160000,True,0.1,False,5.354520107115689,0.42575649572054336,5,160648,True,True,0,-0.3160727896126275,0.45424593608790753,0.7599169780618357,True,True,0,-0.2600128055279485,0.3146059926774205,0.6771991403600828,False,True,-1,-0.29150824144199855,0.27407796594600303,0.6951343980453468
38.0,0.3,0,N=10k no-rejuv,10000,False,inf,False,13.930139405234279,0.16734733725353504,0,0,True,True,0,-0.013023366092717037,-0.22860305365055422,1.0986893754863343,True,True,0,0.14682792959643176,-0.21051457626046902,1.1995327632872221,True,True,0,0.018342738845241513,-0.19766748697785616,1.2007461641085964
38.0,0.3,0,N=10k rejuv KL=0.02,10000,True,0.02,False,2360.9314937249474,0.004462206708184365,13,16917,True,True,0,-0.0330904077339903,0.10212472739723708,0.9653710432363508,True,True,0,-0.07956414508218246,0.1695171513651824,0.9133078559289747,True,True,0,-0.08761238621121628,0.17469540678372744,0.9099953599020406
38.0,0.3,1,N=10k rejuv,10000,True,0.1,True,946.8070120467512,0.012888752737376956,7,9666,True,True,0,0.015934218218298435,-0.017284211421972465,1.0265184602084751,False,False,0,0.0015941426117195134,0.0242247637614274,0.9906815731278698,False,False,0,-0.0047103890048865935,0.0279355282006672,0.9838803101807254
38.0,0.3,1,N=40k rejuv,40000,True,0.1,True,5517.99459266487,0.0064148095612354804,7,43678,True,True,0,0.01569363053770395,-0.033974920294191406,1.0061729618973618,False,False,0,-0.0008366975133907335,0.03094081089187049,1.000111555709768,False,False,0,-0.0012933403377661857,0.03733071792468272,0.9943892473254169
38.0,0.3,1,N=160k rejuv,160000,True,0.1,True,128.76701756531693,0.08596837081095411,7,159047,True,True,0,-0.03300854463339731,-0.0016954990315861227,0.951400376865673,False,False,0,-0.0030809000241865565,-0.1124830647858609,1.0164045644818858,False,False,0,-0.002559765654294264,-0.11834660351847247,1.0231173980077801
38.0,0.3,1,N=10k no-rejuv,10000,False,inf,True,37.134560851510145,0.054333524934029355,0,0,True,True,0,-0.036921050684338874,-0.07793364162986818,0.9335145094269595,False,False,0,0.004045480650151381,-0.12122186078025166,0.9587953961475665,False,False,0,-0.0008983926801434386,-0.11698495500725468,0.9546083286483347
38.0,0.3,1,N=10k rejuv KL=0.02,10000,True,0.02,True,1757.5541426967204,0.010554830315657649,17,16614,True,True,0,0.005415697054200086,-0.023439036821769996,1.0117059403101551,False,False,0,0.010238736359317773,0.023021138992351534,1.0097279004821502,False,False,0,0.008380339828476403,0.02752032029610461,1.0061854236593246
38.0,0.3,2,N=10k rejuv,10000,True,0.1,False,1.898484584876267,0.7245215264262542,5,7738,True,True,0,-0.1898903578017918,0.615061051179628,0.7361606489946653,False,True,-1,-0.2611199347482714,1.1731013181841712,0.6115365426769198,False,True,-1,-0.2777053804787249,1.18214627168376,0.6528770683009465
