corr,efficiency,frac_negative,bias,est_max,ref_max,x_est,x_ref,edge_frac_est,edge_frac_ref,edge_est,edge_ref,ref_at_mu0,policy,replicate,step,posterior_sd_mu,posterior_sd_sigma
0.9712201252017925,0.9777510538848989,0.325,-1.621677333448813e-05,0.004283020011829949,0.003678374249059344,43.291139240506325,16.70886075949367,0.025316455696202667,0.025316455696202538,True,True,1.6473716029086205e-06,entropy_sigma,7,30,4.7399054549399215,1.5157500506593584
0.9931037289119975,1.0,0.375,-0.005204864273682733,0.01306520835891245,0.017053163436604915,16.0,16.0,0.0,0.0,True,True,6.8299447331110485e-06,entropy_vector,7,0,6.00654473904992,3.7072419061738975
0.9922749041447156,1.0,0.0125,-0.008106985034915151,0.058648907277000006,0.07129605057579069,23.443037974683545,23.443037974683545,0.2658227848101266,0.2658227848101266,False,False,0.03247953388106373,entropy_vector,7,5,2.276312949153862,3.7895452965399787
0.9800139401779266,0.998769733223388,0.0,-0.005626854293874706,0.04743950242655465,0.06146069003719601,30.88607594936709,31.240506329113924,0.4683544303797468,0.4556962025316456,False,False,0.04790372350998928,entropy_vector,7,10,1.1099803996532542,1.9538344042511673
0.9459408157912647,0.9925902076678103,0.0625,-0.004784487947803104,0.03734308641049397,0.047286904965827714,34.07594936708861,33.72151898734177,0.3544303797468353,0.3670886075949369,False,False,0.00108562929900069,entropy_vector,7,20,1.0053534023761235,1.9095808499808489
0.9094456620002056,0.9746565861197022,0.0875,-0.0024072340911749576,0.018134348811796652,0.024138005547776314,33.72151898734177,33.0126582278481,0.3670886075949369,0.3924050632911393,False,False,0.0021611895194628694,entropy_vector,7,30,0.7395891480114408,0.9962365909015729
0.994115062169605,1.0,0.3125,-0.003975281851683661,0.014537539559224127,0.017053163436604915,16.0,16.0,0.0,0.0,True,True,6.8299447331110485e-06,entropy_sigma,8,0,5.987841322488564,3.8557094856198004
0.9546436078014269,0.9895957716973204,0.2625,-0.002062585600636182,0.012875058523109315,0.014665075039363679,44.0,42.936708860759495,0.0,0.03797468354430374,True,True,0.0009399991125834672,entropy_sigma,8,5,5.555332108120515,2.6550038720696185
0.9983991542330927,0.9970027591063524,0.5,-0.0031574458253817326,0.00905481689495323,0.0093339339088465,44.0,16.354430379746834,0.0,0.012658227848101207,True,True,2.427203376509368e-06,entropy_sigma,8,10,5.055385930358503,2.072165228874761
0.9952637113564667,0.9848644883936655,0.5,-0.001609852557452945,0.005606192951145637,0.005373211490925123,43.64556962025317,16.70886075949367,0.01265822784810108,0.025316455696202538,True,True,1.154176898943149e-06,entropy_sigma,8,20,4.854452229188189,1.6853409839420426
0.9751543628648469,1.0,0.1375,0.0006590128423208008,0.004494391728686056,0.0037414773182116758,17.063291139240505,17.063291139240505,0.03797468354430374,0.03797468354430374,True,True,4.012712948253672e-06,entropy_sigma,8,30,4.731246603588115,1.5109518537423678
0.994115062169605,1.0,0.3125,-0.003975281851683661,0.014537539559224127,0.017053163436604915,16.0,16.0,0.0,0.0,True,True,6.8299447331110485e-06,entropy_vector,8,0,5.987841322488564,3.8557094856198004
0.987062105634575,0.9952735617830184,0.0,-0.007870351126662171,0.07347390757994915,0.08826501544939414,26.632911392405063,26.9873417721519,0.37974683544303794,0.3924050632911393,False,False,0.01720865677071104,entropy_vector,8,5,2.0635151763572557,3.392701926162751
0.9818988432628537,0.991456145068659,0.0,-0.004527314039695904,0.06934301074866478,0.08072168004242564,26.278481012658226,26.632911392405063,0.3670886075949366,0.37974683544303794,False,False,0.0015461095901668775,entropy_vector,8,10,1.357841958609207,2.7308749712726703
0.8990193415405728,0.9811623546665508,0.075,-0.005604944121152634,0.028449652761048216,0.039276423615282136,25.21518987341772,33.72151898734177,0.3291139240506329,0.3670886075949369,False,False,0.0004113386708632927,entropy_vector,8,20,0.9516390082777829,1.6654014918384663
0.8979951941260896,0.9833580822215273,0.0875,-0.002444573572056439,0.017685500157489653,0.02489944002150335,33.72151898734177,33.36708860759494,0.3670886075949369,0.37974683544303794,False,False,8.746683742544281e-05,entropy_vector,8,30,0.6470663305438761,0.8302246791807449
0.9968704386112268,0.9999933014466252,0.3875,-0.005157390189566067,0.013418258001165528,0.017053163436604915,44.0,16.0,0.0,0.0,True,True,6.8299447331110485e-06,entropy_sigma,9,0,6.007643756767701,3.7065429052441066
0.9446201355977071,0.9895976129141236,0.425,-0.004336150461320144,0.011289953016395363,0.014665136669278794,16.0,17.063291139240505,0.0,0.03797468354430374,True,True,0.0011926207899588537,entropy_sigma,9,5,5.575956815994796,2.617421823192642
0.9990025246657402,0.9970027591063524,0.55,-0.004044275359195397,0.008622763034513113,0.0093339339088465,44.0,16.354430379746834,0.0,0.012658227848101207,True,True,2.427203376509368e-06,entropy_sigma,9,10,5.0825544814264845,2.061743005847824
0.9924275693591394,0.9898221826394654,0.475,-0.0014740169513160289,0.005504521422909827,0.005333973541868264,43.64556962025317,16.70886075949367,0.01265822784810108,0.025316455696202538,True,True,9.962694507148484e-07,entropy_sigma,9,20,4.885583275281001,1.6799474866640782
0.9771741275251064,0.9955114023298627,0.4125,-0.0005790874297709637,0.004108777669639827,0.003670627629104674,43.291139240506325,16.70886075949367,0.025316455696202667,0.025316455696202538,True,True,6.635672307186979e-07,entropy_sigma,9,30,4.75810871837202,1.5083304806713307
0.9968704386112268,0.9999933014466252,0.3875,-0.005157390189566067,0.013418258001165528,0.017053163436604915,44.0,16.0,0.0,0.0,True,True,6.8299447331110485e-06,entropy_vector,9,0,6.007643756767701,3.7065429052441066
0.9817265516707491,0.9930056586192832,0.075,-0.012267052301255722,0.06281474196722575,0.07841048849370813,35.139240506329116,34.43037974683544,0.31645569620253156,0.3417721518987342,False,False,0.020562262118390073,entropy_vector,9,5,2.7361549180899383,4.521495278619857
0.9273353247350803,0.9755621615274593,0.05,-0.007030191291585244,0.0424143431625669,0.05553008178857294,33.36708860759494,32.65822784810126,0.37974683544303794,0.4050632911392406,False,False,0.018445730404926808,entropy_vector,9,10,1.45842851657334,2.3403478729647444
0.9497801370297954,0.9811145836448611,0.125,-0.007830703475253296,0.029133284612847393,0.039626582180912806,36.20253164556962,35.49367088607595,0.27848101265822783,0.3037974683544305,False,False,0.0008740721908474525,entropy_vector,9,20,1.3186246830429373,2.397454567941735
0.9067873731409659,0.9725128314187936,0.0875,-0.0021887013430903933,0.015553832549085989,0.02087141979137183,24.50632911392405,33.72151898734177,0.30379746835443033,0.3670886075949369,False,False,0.0006515831236495462,entropy_vector,9,30,0.8309423220377242,0.9432051090676401
0.9954063278282508,0.9999933014466252,0.4125,-0.005703337965647051,0.013515003257024816,0.017053163436604915,44.0,16.0,0.0,0.0,True,True,6.8299447331110485e-06,entropy_sigma,10,0,6.009597705749918,3.7225514950539433
0.9871298119900197,1.0,0.325,-0.002281714759698737,0.015072759846495892,0.016301913329562392,16.0,16.0,0.0,0.0,True,True,0.0004671136836886802,entropy_sigma,10,5,5.3524236123722355,2.5604452502328154
