target,setting,bruceton,dror_steinberg,entropy_mu,entropy_q0.95,entropy_sigma,entropy_vector
q0.5_SE,probit_ind_poor,0.06329645040792078,0.07666294960423037,0.06505801951178035,0.16393792274449662,1.8895223231034068,0.0847273782314886
q0.95_SE,probit_ind_poor,0.27657573341016367,0.2453467395731611,0.30475775754854634,0.15737878509694195,2.7733814153090206,0.25584280669522647
q0.99_SE,probit_ind_poor,0.5190619603848858,0.43133078152683757,0.5407264650132073,0.3106917408569815,3.242461031588405,0.42698454913550504
sigma_SE,probit_ind_poor,0.09714793673525537,0.07257872667646367,0.08661485844201261,0.09415631365371893,0.06309353339575426,0.06369029795889566
mu,probit_ind_well,0.6000251522876433,0.787950053583615,0.5601209418031668,1.715193562833372,0.013013463920472845,0.858515898614126
q0.5,probit_ind_well,0.6000251522876433,0.787950053583615,0.5601209418031668,1.715193562833372,0.013013463920472845,0.858515898614126
q0.95,probit_ind_well,4.074550323350324,2.513569159429313,3.9969449304881173,1.7712584521781218,1.098767651397009,2.648271646518647
q0.99,probit_ind_well,7.630869958507165,4.256613327585523,7.2597451818257,3.5021580563692445,2.707665611490842,4.499022616819434
sigma,probit_ind_well,1.3323512275333909,0.649888456197518,1.1610094350818732,1.082863685818183,1.20833201629581,0.7000481474221927
mu_SE,probit_ind_well,0.06337834080719887,0.07115248007796475,0.055465797329250686,0.14630002987766627,0.0014011753930971357,0.0751246817053628
q0.5_SE,probit_ind_well,0.06337834080719887,0.07115248007796475,0.055465797329250686,0.14630002987766627,0.0014011753930971357,0.0751246817053628
q0.95_SE,probit_ind_well,0.3852713038645773,0.2263085773682943,0.3884177219074454,0.17891947199875416,0.01603468208125536,0.2372287560789208
q0.99_SE,probit_ind_well,0.73984328200879,0.37641574259439026,0.7181741396724752,0.3607920701592474,0.026690815435876727,0.4107939291513143
sigma_SE,probit_ind_well,0.1367733532541772,0.05559412589657596,0.11582721673741012,0.10677517953432268,0.00303157436933137,0.06584910467804
