fit_r_prior,dgp,design,design_r_prior,n,target,n_pairs,width_ratio_mean,width_ratio_median,width_ratio_se,width_probit_mean,width_robit_mean,coverage_gain,coverage_gain_se
reference_uniform,tail_1.0,mi2,,100,q0.95,6,1.36341834667127,1.3665579081939359,0.019098386148343117,4.469759014766249,6.1120054452248205,0.3333333333333333,0.210818510677892
reference_uniform,tail_1.0,mi2,,200,q0.95,6,1.431376749811209,1.4331477809104998,0.01129238913931066,2.827061077870147,4.047702799646475,0.5,0.22360679774997896
heavy_tail,tail_1.0,mi2,,50,q0.99,6,2.397837897551314,2.4161417325013295,0.027977890883012866,9.451110235637904,22.632438388679248,0.16666666666666666,0.16666666666666669
heavy_tail,tail_1.0,mi2,,100,q0.99,6,2.6593285654498193,2.6802362608742443,0.041793719669438845,5.835495305455164,15.54632926684503,0.3333333333333333,0.210818510677892
heavy_tail,tail_1.0,mi2,,200,q0.99,6,3.069794070595284,3.0992498009893046,0.06254182722367158,3.660021809524063,11.223059459082918,1.0,0.0
near_probit,tail_1.0,mi2,,50,q0.99,6,1.1129889086206564,1.1137016092796923,0.0017584166300009807,9.451110235637904,10.517702292084646,0.0,0.0
near_probit,tail_1.0,mi2,,100,q0.99,6,1.143462874602429,1.144423477437977,0.0031416525107963145,5.835495305455164,6.675859777541114,0.0,0.0
near_probit,tail_1.0,mi2,,200,q0.99,6,1.2041551538288453,1.20422169076034,0.002435798344485767,3.660021809524063,4.407892739833226,0.0,0.0
reference_uniform,tail_1.0,mi2,,50,q0.99,6,2.1432433510356392,2.145208173839296,0.022920542949534016,9.451110235637904,20.246198393535696,0.16666666666666666,0.16666666666666669
reference_uniform,tail_1.0,mi2,,100,q0.99,6,2.509561860727437,2.529045680091433,0.03385719443888428,5.835495305455164,14.672118672077161,0.3333333333333333,0.210818510677892
reference_uniform,tail_1.0,mi2,,200,q0.99,6,3.043886264655446,3.0612657685068405,0.046034987813136335,3.660021809524063,11.135303280536917,1.0,0.0
heavy_tail,tail_1.0,mi3,heavy_tail,50,q0.5,6,1.062487764292038,1.055406990946457,0.01231055496321558,2.8581517521494053,3.0462373448026114,0.0,0.0
