cell,block,dgp,pol,prior_name,scale,n,backend,target,n_rep,coverage,coverage_se,bias,rmse,mean_width,median_width,w_star,frac_narrow,false_certainty,false_certainty_se,delta,curve_scale,dangerous_error,dangerous_error_se,decision_loss_10to1,unresolved_rate,frac_all_equal,x_min_mean,x_max_mean,target_true,target_outside_sampled
II|tail_1.0|entropy_vector|shifted|s3,II,tail_1.0,entropy_vector,shifted,s3,50,particle,q0.5,22,0.9545454545454546,0.04440947367810882,0.16740454639251678,0.7361439991237579,2.6816194027576903,2.5834642661509104,2.5238625928067258,0.45454545454545453,0.0,0.0,1.8825082281539385,3.765016456307877,0.0,0.0,2.2904593159281337,0.0,0.0,21.98720877112837,34.6313385107355,30.0,0.0
II|tail_1.0|entropy_vector|shifted|s3,II,tail_1.0,entropy_vector,shifted,s3,50,particle,q0.95,22,0.45454545454545453,0.10615894693111677,-3.017013664076275,3.353219696534846,5.413059155418418,5.009622131915435,4.962188850452113,0.4090909090909091,0.4090909090909091,0.10482356110715554,1.8825082281539385,3.765016456307877,0.7272727272727273,0.09495144870310791,30.23548739630218,0.0,0.0,21.98720877112837,34.6313385107355,37.93456088085442,1.0
II|tail_1.0|entropy_vector|shifted|s3,II,tail_1.0,entropy_vector,shifted,s3,50,particle,q0.99,22,0.3181818181818182,0.09930260198923899,-5.973862082849295,6.256759980495465,7.164060528069464,6.600510778160086,6.505481304742142,0.4090909090909091,0.4090909090909091,0.10482356110715554,1.8825082281539385,3.765016456307877,1.0,0.0,59.738620828492955,0.0,0.0,21.98720877112837,34.6313385107355,42.85904362212253,1.0
II|tail_1.0|entropy_vector|shifted|s3,II,tail_1.0,entropy_vector,shifted,s3,50,ref,q0.5,22,0.9545454545454546,0.04440947367810882,0.1692832284039775,0.7408342444719164,2.6902885543398045,2.5905574139965992,2.5238625928067258,0.45454545454545453,0.0,0.0,1.8825082281539385,3.765016456307877,0.0,0.0,2.27952681110235,0.0,0.0,21.98720877112837,34.6313385107355,30.0,0.0
II|tail_1.0|entropy_vector|shifted|s3,II,tail_1.0,entropy_vector,shifted,s3,50,ref,q0.95,22,0.45454545454545453,0.10615894693111677,-2.811303884181309,3.1929275585716397,5.4294230149522855,5.035859247699598,4.962188850452113,0.45454545454545453,0.45454545454545453,0.10615894693111677,1.8825082281539385,3.765016456307877,0.7272727272727273,0.09495144870310791,28.340213565897113,0.0,0.0,21.98720877112837,34.6313385107355,37.93456088085442,1.0
II|tail_1.0|entropy_vector|shifted|s3,II,tail_1.0,entropy_vector,shifted,s3,50,ref,q0.99,22,0.3181818181818182,0.09930260198923899,-5.683260754460967,6.001633615466277,7.176288638246237,6.622258259485282,6.505481304742142,0.4090909090909091,0.4090909090909091,0.10482356110715554,1.8825082281539385,3.765016456307877,1.0,0.0,56.832607544609665,0.0,0.0,21.98720877112837,34.6313385107355,42.85904362212253,1.0
II|tail_1.0|fixed_design|shifted|s3,II,tail_1.0,fixed_design,shifted,s3,20,particle,q0.5,22,1.0,0.0,-1.2604073553173982,1.6140044137672043,11.17805586153819,11.703796881932991,,0.0,,,1.8825082281539385,3.765016456307877,0.13636363636363635,0.0731650049984536,12.604073553173981,0.9545454545454546,0.8181818181818182,19.360000000000003,24.639999999999997,30.0,1.0
II|tail_1.0|fixed_design|shifted|s3,II,tail_1.0,fixed_design,shifted,s3,20,particle,q0.95,22,1.0,0.0,-6.443244304683446,6.570509748273151,15.929694517829647,15.688590660029082,,0.0,,,1.8825082281539385,3.765016456307877,1.0,0.0,64.43244304683445,0.9545454545454546,0.8181818181818182,19.360000000000003,24.639999999999997,37.93456088085442,1.0
II|tail_1.0|fixed_design|shifted|s3,II,tail_1.0,fixed_design,shifted,s3,20,particle,q0.99,22,1.0,0.0,-10.29739296378497,10.414968257447331,18.456737422131354,18.05183740960087,,0.0,,,1.8825082281539385,3.765016456307877,1.0,0.0,102.9739296378497,0.9545454545454546,0.8181818181818182,19.360000000000003,24.639999999999997,42.85904362212253,1.0
II|tail_1.0|fixed_design|shifted|s3,II,tail_1.0,fixed_design,shifted,s3,30,particle,q0.5,22,1.0,0.0,-1.2545769312924693,1.7110275721702592,10.78128053970997,11.581316909896875,,0.0,,,1.8825082281539385,3.765016456307877,0.22727272727272727,0.08934606739851096,12.545769312924694,0.9545454545454546,0.7272727272727273,19.360000000000003,24.639999999999997,30.0,1.0
II|tail_1.0|fixed_design|shifted|s3,II,tail_1.0,fixed_design,shifted,s3,30,particle,q0.95,22,1.0,0.0,-6.510033013890901,6.664209848941118,15.581143074185768,15.387678690318022,,0.0,,,1.8825082281539385,3.765016456307877,0.9545454545454546,0.04440947367810882,65.10033013890902,0.9545454545454546,0.7272727272727273,19.360000000000003,24.639999999999997,37.93456088085442,1.0
II|tail_1.0|fixed_design|shifted|s3,II,tail_1.0,fixed_design,shifted,s3,30,particle,q0.99,22,1.0,0.0,-10.365070649555157,10.501790120150824,18.06363353956745,17.770725845766624,,0.0,,,1.8825082281539385,3.765016456307877,1.0,0.0,103.65070649555159,0.9545454545454546,0.7272727272727273,19.360000000000003,24.639999999999997,42.85904362212253,1.0
II|tail_1.0|fixed_design|shifted|s3,II,tail_1.0,fixed_design,shifted,s3,50,particle,q0.5,22,1.0,0.0,-1.3746275183344538,1.902600929761764,10.190117151813688,11.394374190794993,2.5238625928067258,0.0,0.0,0.0,1.8825082281539385,3.765016456307877,0.36363636363636365,0.10255928633050294,13.879683664883673,0.9545454545454546,0.5909090909090909,19.360000000000003,24.639999999999997,30.0,1.0
II|tail_1.0|fixed_design|shifted|s3,II,tail_1.0,fixed_design,shifted,s3,50,particle,q0.95,22,1.0,0.0,-6.672057049762629,6.863721096228477,15.162620650499003,15.084940577052103,4.962188850452113,0.0,0.0,0.0,1.8825082281539385,3.765016456307877,0.9545454545454546,0.04440947367810882,66.72057049762628,0.9545454545454546,0.5909090909090909,19.360000000000003,24.639999999999997,37.93456088085442,1.0
