mu_true,sigma_true,target,mean_diff_sd_units,sd_ratio,rank_diff,covered_prod,covered_audit,prod_box_width_mu,cells_per_posterior_sd
46.0,1.2,q0.5,8.541909072005722e-09,0.9999999928121297,4.535431539431922e-05,True,True,49.02015544241307,22.367747521796048
46.0,1.2,q0.95,9.395452668570442e-09,0.9999999910603543,8.066121531813408e-06,True,True,49.02015544241307,31.956878059870224
46.0,1.2,q0.99,9.402458415530214e-09,0.9999999910906792,7.453791754541417e-06,True,True,49.02015544241307,36.74446422541456
26.0,0.3,q0.5,0.00020711331174382185,0.9998609527700136,0.0016145712942192691,True,True,55.01442496569871,1.7838418678909191
26.0,0.3,q0.95,7.410310098588157e-05,1.0000227439804716,7.228432085493175e-05,True,True,55.01442496569871,4.060330425305874
26.0,0.3,q0.99,0.00010379815875988558,0.9999959048696511,0.0001424210578940821,True,True,55.01442496569871,5.574452693068421
46.0,0.3,q0.5,4.53079002754162e-09,0.9999999955638946,4.567129475213649e-05,True,True,49.02015544241307,22.365261882754762
46.0,0.3,q0.95,5.162781384281903e-09,0.99999999423987,2.2021745975278617e-05,True,True,49.02015544241307,31.95556368674003
46.0,0.3,q0.99,5.207736590372333e-09,0.9999999941934063,1.9635338722345796e-05,True,True,49.02015544241307,36.7436432772656
34.0,0.3,q0.5,5.648357875403137e-08,0.999999966208851,0.0010567576016393965,True,True,35.96880858282566,3.8432648042819046
34.0,0.3,q0.95,3.624499253146285e-08,0.9999999381871824,0.0002683356894030431,True,True,35.96880858282566,6.7441938424053705
34.0,0.3,q0.99,3.0081923503618675e-08,0.9999999471130547,0.0001841035425520221,True,True,35.96880858282566,8.502737902825356
14.0,0.6,q0.5,1.1496322041475926e-05,1.0000312508768614,8.297541884250137e-06,True,True,22.482622334948164,48.636690197016534
14.0,0.6,q0.95,1.0767777582239033e-05,1.0000303258035836,8.88535147891556e-06,True,True,22.482622334948164,41.55323404501584
14.0,0.6,q0.99,8.973843598650652e-06,1.0000238887503687,3.1747749003274706e-05,True,True,22.482622334948164,44.702541036863494
14.0,0.6,q0.5,1.155989394313787e-05,1.0000314456708161,5.266382577806539e-06,True,True,22.70304020097707,48.16104162820719
14.0,0.6,q0.95,1.0818775246915653e-05,1.0000304689178794,9.333720508819532e-06,True,True,22.70304020097707,41.18597779722702
14.0,0.6,q0.99,9.00971490815534e-06,1.0000239675489515,3.199305382672879e-05,True,True,22.70304020097707,44.34416969937503
